# raw data taken from a Legermarketing survey:  http://www.ledevoir.com/documents/pdf/sondage_politique_provinciale.pdf

Comté                           	  PLQ   	  PQ    	  CAQ   	  PV    	  QS
Montmorency                     	  29.6  	  25.5  	  33.1  	  3.3   	  8.4 
Mont-Royal                      	  67.3  	  9.1   	  7.7   	  8.3   	  7.6 
Nelligan                        	  64.2  	  11.3  	  9.2   	  9.6   	  5.7 
Nicolet-Bécancour               	  25.8  	  23.8  	  28.3  	  0.5   	  10.3 
Notre-Dame-de-Grace             	  59.3  	  11.2  	  7.3   	  18.2  	  4.1 
Orford                          	  37.7  	  31.2  	  16.8  	  5.7   	  8.6 
Outremont                       	  45.1  	  22.5  	   7.3  	   9.9  	  15.2 
Papineau                        	  40.4  	  30.9  	  14.3  	  7.0   	  7.4 
Pointe-aux-Trembles             	  17.2  	  53.3  	  13.9  	  5.8   	  9.9 
Pontiac                         	  56.0  	  15.9  	  10.9  	  8.9   	  8.2 
Portneuf                        	  32.5  	  23.6  	  32.9  	  1.7   	  9.3 
Rene-Lévesque                   	  21.2  	  55.9  	  14.4  	  0.7   	  7.8 
Repentigny                      	  23.3  	  41.2  	  23.3  	  4.3   	  7.9 
Richelieu                       	  25.4  	  43.1  	  19.0  	  4.7   	  7.8 
Richmond                        	  34.2  	  35.8  	  17.2  	  4.7   	  8.2 
Rimouski                        	  29.4  	  46.5  	  14.9  	  0.5   	  8.7 
Rivière-du-Loup-Témiscouata     	  39.0  	  35.8  	  17.3  	  1.4   	  6.5 
Robert-Baldwin                  	  71.8  	  5.3   	  8.2   	  8.8   	  5.9 
Roberval                        	  34.7  	  44.7  	  12.9  	  0.7   	  7.0 
Rosemont                        	  23.9  	  46.2  	  10.1  	  5.2   	  14.6 
Rousseau                        	  20.9  	  51.6  	  14.7  	  4.8   	  7.9 
Rouyn-Noranda-Temiscamingue     	  36.6  	  34.4  	  17.4  	  0.7   	  10.9 
Saint-François                  	  36.6  	  39.6  	  13.6  	  2.9   	  7.4 
Saint-Henri-Sainte-Anne         	  37.2  	  34.8  	  9.4   	  8.0   	  10.6 
Saint-Hyacinthe                 	  28.2  	  34.7  	  23.3  	  5.1   	  8.6 
Saint-Jean                      	  28.3  	  35.7  	  23.1  	  5.1   	  7.8 
Saint Jerôme                    	  19.9  	  42.3  	  25.2  	  4.3   	  8.3 
Saint-Laurent                   	  55.1  	  15.8  	  11.3  	  8.3   	  9.5 
Sainte-Marie-Saint-Jacques      	  20.2  	  42.0  	  8.4   	  7.9   	  21.5 
Saint-Maurice                   	  31.3  	  38.4  	  19.8  	  2.8   	  7.7 
Sainte-Rose                     	  34.0  	  36.4  	  17.5  	  3.3   	  8.8 
Sanguinet                       	  20.5  	  46.4  	  22.7  	  2.8   	  7.6 
Sherbrooke                      	  36.2  	  34.8  	  12.0  	  6.0   	  10.9 
Soulanges                       	  37.7  	  33.5  	  17.5  	  4.9   	  6.5 
Taillon                         	  24.4  	  42.5  	  18.1  	  5.6   	  9.3 
Taschereau                      	  27.4  	  39.0  	  15.7  	  6.2   	  11.8 
Terrebonne                      	  18.5  	  43.0  	  25.7  	  5.0   	  7.9 
Trois-Rivières                  	  33.0  	  33.6  	  22.1  	  2.6   	  8.8 
Ungava                          	  29.9  	  45.9  	  13.5  	  0.7   	  10.0 
Vachon                          	  14.6  	  56.3  	  13.8  	  5.3   	  10.0 
Vanier-Les Rivières             	  31.1  	  23.0  	  35.1  	  1.8   	  9.0 
Vaudreuil                       	  46.3  	  26.3  	  15.3  	  5.7   	  6.3 
Verchères                       	  16.1  	  48.6  	  22.3  	  4.9   	  8.1 
Verdun                          	  39.2  	  33.2  	  9.7   	  8.4   	  9.5 
Viau                            	  49.7  	  23.2  	  10.0  	  6.1   	  11.1 
Vimont                          	  40.6  	  31.0  	  16.7  	  3.1   	  8.6 
Westmount-Saint-Louis           	  65.8  	  7.8   	  7.3   	  11.1  	  8.1 
