# raw data taken from Too Close to Call https://docs.google.com/file/d/0B9hKZEGlI3lXLUx5eDBhRzJDYVU/view?sle=true

Comté 	  PLQ   	 PQ	  CAQ   	 PV	  QS  	  ON
Notre-Dame-de-Grace	 59.1	 12.0	 11.8	 15.7	 1.5	 0.0
Orford	  35.6	 32.2	 22.3	 3.8	  6.2	 0.0
Outremont	   44.4	 23.6	 11.7	 7.2	  13.1	0.0
Papineau	38.7	 32.2	 19.8	 4.1	  5.2	 0.0
Pointe-aux-Trembles	 15.9	 55.5	 18.7	 3.9	  6.0	 0.0
Pontiac	 54.7	 16.9	 16.3	 6.1	  6.1	 0.0
Portneuf	29.9	 24.0	 38.3	 0.4	  7.4	 0.0
Rene-Lévesque	   19.9	 56.2	 18.6	 0.2	  5.1	 0.0
Repentigny	  20.4	 41.4	 29.3	 3.0	  5.8	 0.0
Richelieu	   22.4	 43.7	 25.2	 3.3	  5.4	 0.0
Richmond	32.1	 36.8	 22.7	 2.7	  5.7	 0.0
Rimouski	27.8	 46.8	 19.3	 0.1	  6.0	 0.0
Rivière-du-Loup-Témiscouata	 37.7	 35.9	 21.6	 1.1	  3.7	 0.0
Robert-Baldwin	  71.9	 6.0	  12.7	 6.1	  3.4	 0.0
Roberval	33.3	 45.1	 17.2	 0.2	  4.2	 0.0
Rosemont	22.8	 48.2	 14.8	 3.4	  10.8	0.0
Rousseau	18.0	 51.8	 20.9	 3.6	  5.8	 0.0
Rouyn-Noranda-Temiscamingue	 35.5	 34.5	 21.5	 0.2	  8.3	 0.0
Saint-François	  34.5	 40.6	 19.1	 0.9	  4.8	 0.0
Saint-Henri-Sainte-Anne	 36.3	 36.2	 14.0	 5.3	  8.3	 0.0
Saint-Hyacinthe	 25.2	 35.5	 29.5	 3.7	  6.1	 0.0
Saint-Jean	  25.3	 36.5	 29.3	 3.6	  5.3	 0.0
Saint Jerôme	17.1	 42.5	 31.2	 3.0	  6.2	 0.0
Saint-Laurent	   54.7	 16.7	 15.8	 5.6	  7.2	 0.0
Sainte-Marie-Saint-Jacques	  19.0	 43.9	 13.1	 6.1	  17.9	0.0
Saint-Maurice	   28.4	 38.8	 25.7	 2.3	  4.8	 0.0
Sainte-Rose	 31.4	 37.2	 23.4	 1.7	  6.3	 0.0
Sanguinet	   17.7	 46.8	 28.9	 1.4	  5.1	 0.0
Sherbrooke	  34.1	 35.8	 17.6	 4.1	  8.5	 0.0
